idSku,seasonality_mode,n_changepoints,trend_reg,n_lags,num_hidden_layers,rmse
1,multiplicative,100,0,14,2,7.2072038650512695
2,multiplicative,100,0,7,2,7.724149703979492
3,multiplicative,100,0,14,2,5.8864850997924805
4,multiplicative,10,0,14,2,4.498294353485107
5,multiplicative,100,0,14,2,6.029702186584473
6,multiplicative,100,0,1,0,6.660327911376953
7,multiplicative,100,0,7,2,4.157397270202637
8,multiplicative,100,0,14,2,3.4312961101531982
9,multiplicative,100,0,7,2,4.517002105712891
10,multiplicative,100,0,14,0,4.074047565460205
11,multiplicative,10,0,14,2,3.434734582901001
12,multiplicative,10,0,14,2,3.5370569229125977
13,multiplicative,100,0,7,2,3.7515857219696045
14,multiplicative,100,0,14,2,3.4619433879852295
15,multiplicative,10,0,14,2,5.756577491760254
16,multiplicative,100,0,7,0,4.604636192321777
17,multiplicative,100,0,7,2,4.093891143798828
18,multiplicative,100,0,7,2,4.114495754241943
19,multiplicative,10,0,14,2,3.175934076309204
20,multiplicative,100,0,7,2,3.4780263900756836
21,multiplicative,100,0,14,2,2.9451699256896973
22,multiplicative,100,0,14,0,3.070866346359253
23,multiplicative,100,0,14,2,2.962653636932373
24,multiplicative,100,0,1,2,5.228108882904053
25,multiplicative,100,0,14,2,2.729931354522705
26,multiplicative,100,0,7,2,3.762303113937378
27,multiplicative,100,0,14,2,3.4461116790771484
28,multiplicative,10,0,14,2,3.6010031700134277
29,multiplicative,100,0,7,2,4.088594913482666
30,multiplicative,100,0,14,2,3.1361806392669678
31,multiplicative,100,0,14,2,3.6254820823669434
32,multiplicative,100,0,14,2,3.8172740936279297
33,multiplicative,100,0,7,2,2.875307321548462
34,multiplicative,100,0,7,2,3.309145212173462
35,multiplicative,100,0,14,2,2.869468927383423
36,multiplicative,100,0,7,2,3.173893928527832
37,multiplicative,10,0,14,2,2.9054436683654785
38,multiplicative,100,0,7,2,2.934666633605957
39,multiplicative,100,0,7,2,3.7934019565582275
40,multiplicative,10,0,14,2,3.3760640621185303
41,multiplicative,100,0,14,2,3.1185929775238037
42,multiplicative,10,0,7,2,3.554760694503784
43,multiplicative,100,0,14,2,4.272871494293213
44,multiplicative,100,0,14,0,3.3615057468414307
45,multiplicative,10,0,14,2,3.8934781551361084
46,multiplicative,100,0,14,2,3.5700411796569824
47,multiplicative,100,0,7,2,5.178525447845459
48,multiplicative,100,0,7,2,2.7940123081207275
49,multiplicative,100,0,7,2,3.154132127761841
50,multiplicative,10,0,14,2,2.8075931072235107
